"Quarter","Economic_Sector","Employment","Average_Weekly_Earnings_Seasonally_Adjusted"
2017-01-01,"Financial and insurance activities (K)",81400,1112.9
2017-01-01,"Real estate activities (L)",12100,756.54
2017-01-01,"Professional, scientific and technical activities (M)",89100,876.06
2017-01-01,"Administrative and support service activities (N)",88900,543.9
2017-01-01,"Public administration and defence; compulsory social security (O)",112900,924.89
2017-01-01,"Education (P)",146000,808.47
2017-01-01,"Human health and social work activities (Q)",235800,695.7
2017-01-01,"Arts, entertainment and recreation (R)",28200,507.48
2017-01-01,"Other service activities (S)",23800,432.76
2017-01-01,"Industry (B to E)",223800,867.67
2017-01-01,"Electricity, water supply and waste management (D,E)",15900,1161.75
2017-01-01,"Financial, insurance and real estate activities (K,L)",93500,1063.9
2017-01-01,"Arts, entertainment, recreation and other service activities (R,S)",52000,474.09
2017-04-01,"Mining and quarrying (B)",6200,927.94
2017-04-01,"Manufacturing (C)",201000,840.91
2017-04-01,"Construction (F)",93600,721.82
2017-04-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",304000,564.8
2017-04-01,"Transportation and storage (H)",70500,771
2017-04-01,"Accommodation and food service activities (I)",163400,337.63
2017-04-01,"Information and communication (J)",68200,1081.49
2017-04-01,"Financial and insurance activities (K)",81300,1110.55
2017-04-01,"Real estate activities (L)",10800,739.83
2017-04-01,"Professional, scientific and technical activities (M)",91500,880.27
2017-04-01,"Administrative and support service activities (N)",92900,552.64
2017-04-01,"Public administration and defence; compulsory social security (O)",119600,945.82
2017-04-01,"Education (P)",144400,818.18
2017-04-01,"Human health and social work activities (Q)",237500,696.94
2017-04-01,"Arts, entertainment and recreation (R)",30400,516.31
2017-04-01,"Other service activities (S)",24200,424.76
2017-04-01,"Industry (B to E)",222600,858.49
2017-04-01,"Electricity, water supply and waste management (D,E)",15500,1066.49
2017-04-01,"Financial, insurance and real estate activities (K,L)",92100,1067.94
2017-04-01,"Arts, entertainment, recreation and other service activities (R,S)",54600,474.82
2017-07-01,"Mining and quarrying (B)",6700,915.64
2017-07-01,"Manufacturing (C)",210800,856.53
2017-07-01,"Construction (F)",91100,739.92
2017-07-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",306300,559.3
2017-07-01,"Transportation and storage (H)",69000,776.17
2017-07-01,"Accommodation and food service activities (I)",171600,337.62
2017-07-01,"Information and communication (J)",72200,1095.41
2017-07-01,"Financial and insurance activities (K)",82700,1125.32
2017-07-01,"Real estate activities (L)",10900,724.35
2017-07-01,"Professional, scientific and technical activities (M)",93100,896.16
2017-07-01,"Administrative and support service activities (N)",91000,549.82
2017-07-01,"Public administration and defence; compulsory social security (O)",115800,946.98
2017-07-01,"Education (P)",147000,824.25
2017-07-01,"Human health and social work activities (Q)",240700,701.32
2017-07-01,"Arts, entertainment and recreation (R)",25600,507.14
2017-07-01,"Other service activities (S)",28300,432.22
2017-07-01,"Industry (B to E)",232600,875.58
2017-07-01,"Electricity, water supply and waste management (D,E)",15100,1139.13
2017-07-01,"Financial, insurance and real estate activities (K,L)",93600,1075.94
2017-07-01,"Arts, entertainment, recreation and other service activities (R,S)",53900,468.04
2017-10-01,"Mining and quarrying (B)",6000,932.99
2017-10-01,"Manufacturing (C)",205300,858.82
2017-10-01,"Construction (F)",95700,732.51
2017-10-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",308800,575.57
2017-10-01,"Transportation and storage (H)",71000,772.03
2017-10-01,"Accommodation and food service activities (I)",178000,343.64
2017-10-01,"Information and communication (J)",71100,1132.31
2017-10-01,"Financial and insurance activities (K)",79700,1134.82
2017-10-01,"Real estate activities (L)",10900,726.23
2017-10-01,"Professional, scientific and technical activities (M)",92100,903.2
2017-10-01,"Administrative and support service activities (N)",88800,546.37
2017-10-01,"Public administration and defence; compulsory social security (O)",122900,942.84
2017-10-01,"Education (P)",153000,830.43
2017-10-01,"Human health and social work activities (Q)",240500,703.04
2017-10-01,"Arts, entertainment and recreation (R)",30800,504.55
2017-10-01,"Other service activities (S)",25000,433.76
2017-10-01,"Industry (B to E)",226900,879.09
2017-10-01,"Electricity, water supply and waste management (D,E)",15700,1105.89
2017-10-01,"Financial, insurance and real estate activities (K,L)",90600,1087.71
2017-10-01,"Arts, entertainment, recreation and other service activities (R,S)",55800,472.58
2018-01-01,"Mining and quarrying (B)",5800,933.28
2018-01-01,"Manufacturing (C)",203800,868.46
2018-01-01,"Construction (F)",99000,765
2018-01-01,"Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",295600,566.75
2018-01-01,"Transportation and storage (H)",69600,782.62
2018-01-01,"Accommodation and food service activities (I)",181000,341.87
2018-01-01,"Information and communication (J)",69800,1151.7
2018-01-01,"Financial and insurance activities (K)",80100,1153.15
2018-01-01,"Real estate activities (L)",9800,706.77
